candidate_blind_id,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
pb-f03297e1,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-1557f86e,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-fe7b4922,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-4a36179b,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-7085347a,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-30c45618,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-cc528484,3,Direct professional experience performing the target role.,0,No project evidence.
pb-45240a05,3,Direct professional experience performing the target role.,0,No project evidence.
pb-97c54faf,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-79b67617,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-4c280c2a,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-1ee3bace,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-442fdb32,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-d36f2efd,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-3d15d7ea,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-79a0550f,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-7db0de53,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-8419e914,3,Direct professional experience performing the target role.,0,No project evidence.
pb-c0ae0244,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-79e07865,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-b9eb6d4f,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-3668a2aa,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-4fe50a19,3,Direct professional experience performing the target role.,0,No project evidence.
pb-adf36141,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-e35150f9,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-772fb135,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-35d49229,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-6cacf0a0,3,Direct professional experience performing the target role.,0,No project evidence.
pb-e25fe0a8,3,Direct professional experience performing the target role.,0,No project evidence.
pb-bfdb602d,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-7dac0883,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-30c37ab4,3,Direct professional experience performing the target role.,0,No project evidence.
pb-3dafa86d,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-7b1cc0df,0,No meaningful employment evidence for the target role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-6b0449f8,3,Direct professional experience performing the target role.,0,No project evidence.
pb-9137df45,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-32d1bed7,0,No meaningful employment evidence for the target role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-a2e40941,3,Direct professional experience performing the target role.,0,No project evidence.
pb-c03b258d,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-69ea089c,3,Direct professional experience performing the target role.,0,No project evidence.
pb-5ed012d0,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-f9a88c17,0,No meaningful employment evidence for the target role.,0,No project evidence.
pb-9907e773,3,Direct professional experience performing the target role.,0,No project evidence.
pb-5c568d25,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-f8c512e0,1,Adjacent/transferable work but not the target engineering role.,2,"Meaningful project evidence with several relevant technologies or tasks, but incomplete coverage of the JD."
pb-d8497fb9,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-ab4f33f4,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
pb-59306621,1,Adjacent/transferable work but not the target engineering role.,3,Strong direct project evidence: core required technologies and responsibilities are demonstrated with substantive implementation/debugging.
pb-51899643,0,No meaningful employment evidence for the target role.,1,"Weak/partial evidence: adjacent technology, tutorial/coursework, or only a small subset of the required work."
