jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-f03297e1,python; opencv; pytorch; linux,BSc (Computer Science),"11 months total, seniority level 2","[Data Labelling Assistant, 11 months] Labelled training images for the perception team. / Operated the camera rig during data-collection sessions. / Organised the labelled-dataset file structure.","Title: Defect Detection Prototype | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Trained a PyTorch model using OpenCV preprocessing to detect surface defects in a public manufacturing image dataset. Designed the preprocessing pipeline myself and debugged a lighting-normalization bug that was hurting accuracy on darker images. Deployed the inference pipeline on a Linux machine and benchmarked its throughput. | Outcome: Improved detection F1 from 0.61 to 0.84 after fixing the normalization bug.",,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-1557f86e,python; linux; docker; aws,BSc (Electronic Engineering),"11 months total, seniority level 2","[Compliance Assistant, 11 months] Filed audit evidence into the compliance system. / Forwarded scanner alerts to the security team. / Updated the security policy document template.","Title: Log Anomaly Scanner | Technologies: python, linux, docker | Role: solo | Description: Designed and built a tool in Python that scans Linux auth logs for suspicious patterns and flags them. Debugged a false-positive issue caused by legitimate automated backup logins being flagged as brute-force attempts. Packaged it in Docker and ran it against a public sample log dataset. | Outcome: Correctly flagged 8 of 9 seeded attack patterns in a public benchmark log set, with 2 false positives out of 500 clean events.",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-fe7b4922,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: ETL Job in dbt | Technologies: dbt, sql | Role: solo | Description: Designed a set of dbt models transforming raw event data into a star schema, including the SQL logic and tests. Debugged a slowly-changing-dimension bug that was duplicating customer records. | Outcome: Model suite ran cleanly against 6 months of historical data.",,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-4a36179b,python; linux; docker; aws,BSc (Statistics),"7 months total, seniority level 1","[Intern, 8 months] Completed the security-awareness training modules. / Attended incident-review meetings as an observer. / Updated the vulnerability-tracking spreadsheet.",(no projects listed),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-7085347a,aws; terraform; kubernetes; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: S3 Static Site | Technologies: aws, terraform | Role: solo | Description: Provisioned an S3 bucket and CloudFront distribution with Terraform to host a static personal site. | Outcome: (no stated outcome) || Title: Docker Compose Dev Environment | Technologies: docker | Role: solo | Description: Set up a Docker Compose configuration running a small app stack for local development. | Outcome: (no stated outcome)",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-30c45618,python; opencv; pytorch; linux,BSc (Information Systems),"0 months total, no professional seniority established",(no employment history),"Title: OpenCV Tutorial Edge Detector | Technologies: python, opencv | Role: (role not stated) | Description: Followed an OpenCV tutorial to build a basic edge-detection script. | Outcome: (no stated outcome)",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-cc528484,kotlin; android; gradle; git,BSc (Physics),"40 months total, seniority level 4","[Android Engineer, 40 months] Owned the app's Gradle build performance and modularisation. / Cut cold-start time by 40% by deferring non-critical initialisation. / Debugged a rare ANR affecting about 0.5% of sessions, tracing it to a blocking disk read on the main thread. / Led the migration of the codebase to Jetpack Compose for new screens.",(no projects listed),,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-45240a05,python; sql; airflow; spark,BSc (Software Engineering),"42 months total, seniority level 4","[Data Engineer, 42 months] Owned the warehouse's core SQL modelling conventions. / Rebuilt the nightly Spark aggregation job, cutting its runtime by 70%. / Debugged a silent data-loss bug in the Airflow retry logic that had been under-reporting revenue for weeks. / Mentored two junior engineers on pipeline design.",(no projects listed),,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-97c54faf,python; fastapi; postgresql; docker,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Transaction API Prototype | Technologies: python, fastapi, postgresql | Role: solo | Description: Built a small FastAPI service exposing transaction CRUD endpoints backed by PostgreSQL, with basic input validation. | Outcome: (no stated outcome) || Title: Dockerised Ledger Service | Technologies: docker, postgresql, python | Role: solo | Description: Packaged a PostgreSQL-backed ledger service into a Docker container and wrote a startup script that runs migrations automatically. | Outcome: (no stated outcome)",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-79b67617,python; opencv; pytorch; linux,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: PyTorch Vision Project | Technologies: pytorch, python | Role: (role not stated) | Description: Class assignment. | Outcome: (no stated outcome)",,,,
