jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-f03297e1,python; opencv; pytorch; linux,BSc (Computer Science),"11 months total, seniority level 2","[Data Labelling Assistant, 11 months] Labelled training images for the perception team. / Operated the camera rig during data-collection sessions. / Organised the labelled-dataset file structure.","Title: Defect Detection Prototype | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Trained a PyTorch model using OpenCV preprocessing to detect surface defects in a public manufacturing image dataset. Designed the preprocessing pipeline myself and debugged a lighting-normalization bug that was hurting accuracy on darker images. Deployed the inference pipeline on a Linux machine and benchmarked its throughput. | Outcome: Improved detection F1 from 0.61 to 0.84 after fixing the normalization bug.",1,"Supports the perception team through image labelling, camera-rig operation and dataset file organisation. Domain-adjacent data work with no pipeline building, OpenCV/PyTorch use or Linux deployment.",3,"Exercises all four required skills and all three responsibilities: PyTorch model trained with OpenCV preprocessing, inference deployed and throughput-benchmarked on Linux. Self-designed preprocessing pipeline and a diagnosed lighting-normalisation bug hurting accuracy on darker images, with a measured F1 improvement from 0.61 to 0.84."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-1557f86e,python; linux; docker; aws,BSc (Electronic Engineering),"11 months total, seniority level 2","[Compliance Assistant, 11 months] Filed audit evidence into the compliance system. / Forwarded scanner alerts to the security team. / Updated the security policy document template.","Title: Log Anomaly Scanner | Technologies: python, linux, docker | Role: solo | Description: Designed and built a tool in Python that scans Linux auth logs for suspicious patterns and flags them. Debugged a false-positive issue caused by legitimate automated backup logins being flagged as brute-force attempts. Packaged it in Docker and ran it against a public sample log dataset. | Outcome: Correctly flagged 8 of 9 seeded attack patterns in a public benchmark log set, with 2 false positives out of 500 clean events.",1,"Security-adjacent administration: filing audit evidence, forwarding scanner alerts to the security team, and updating a policy document template. Alerts are routed rather than triaged; no configuration review, Python automation or hands-on Linux/Docker/AWS work.",3,"Self-designed Python scanner for Linux auth logs, packaged in Docker and run against a public dataset - matching the Python-automation and Linux-review responsibilities. A diagnosed false-positive class (backup logins read as brute force) and quantified benchmark results (8 of 9 seeded attacks, 2 false positives in 500 clean events) show real ownership; only AWS is missing."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-fe7b4922,python; sql; airflow; spark,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: ETL Job in dbt | Technologies: dbt, sql | Role: solo | Description: Designed a set of dbt models transforming raw event data into a star schema, including the SQL logic and tests. Debugged a slowly-changing-dimension bug that was duplicating customer records. | Outcome: Model suite ran cleanly against 6 months of historical data.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Substantive modelling work - a dbt star-schema model suite with tests, a slowly-changing-dimension bug duplicating customer records diagnosed and fixed, validated against 6 months of history. Only SQL overlaps the required stack; Python, Airflow and Spark are untested, so this reads as adjacent analytics-engineering rather than pipeline engineering."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-4a36179b,python; linux; docker; aws,BSc (Statistics),"7 months total, seniority level 1","[Intern, 8 months] Completed the security-awareness training modules. / Attended incident-review meetings as an observer. / Updated the vulnerability-tracking spreadsheet.",(no projects listed),1,"Passive: completed security-awareness training modules, observed incident reviews, and updated a vulnerability-tracking spreadsheet. Sits next to the vulnerability-tracking duty but performs none of the technical work.",0,"No projects listed, so there is no project evidence to assess."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-7085347a,aws; terraform; kubernetes; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: S3 Static Site | Technologies: aws, terraform | Role: solo | Description: Provisioned an S3 bucket and CloudFront distribution with Terraform to host a static personal site. | Outcome: (no stated outcome) || Title: Docker Compose Dev Environment | Technologies: docker | Role: solo | Description: Set up a Docker Compose configuration running a small app stack for local development. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two small self-built projects covering AWS, Terraform and Docker - an S3/CloudFront static site and a Docker Compose dev stack. Both are single-step setups with no debugging narrative and no stated outcome, and Kubernetes is entirely absent."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-30c45618,python; opencv; pytorch; linux,BSc (Information Systems),"0 months total, no professional seniority established",(no employment history),"Title: OpenCV Tutorial Edge Detector | Technologies: python, opencv | Role: (role not stated) | Description: Followed an OpenCV tutorial to build a basic edge-detection script. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Tutorial-following edge-detection script; correct library, but no role stated, no independent design and no outcome."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-cc528484,kotlin; android; gradle; git,BSc (Physics),"40 months total, seniority level 4","[Android Engineer, 40 months] Owned the app's Gradle build performance and modularisation. / Cut cold-start time by 40% by deferring non-critical initialisation. / Debugged a rare ANR affecting about 0.5% of sessions, tracing it to a blocking disk read on the main thread. / Led the migration of the codebase to Jetpack Compose for new screens.",(no projects listed),3,"40 months in the exact role: owned Gradle build performance and modularisation, cut cold-start time 40% by deferring non-critical initialisation, traced a rare ANR affecting 0.5% of sessions to a main-thread disk read, and led the Jetpack Compose migration. Covers Kotlin, Android, Gradle and the stability duty with clear ownership.",0,"No projects listed, so there is no project evidence to assess."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-45240a05,python; sql; airflow; spark,BSc (Software Engineering),"42 months total, seniority level 4","[Data Engineer, 42 months] Owned the warehouse's core SQL modelling conventions. / Rebuilt the nightly Spark aggregation job, cutting its runtime by 70%. / Debugged a silent data-loss bug in the Airflow retry logic that had been under-reporting revenue for weeks. / Mentored two junior engineers on pipeline design.",(no projects listed),3,"42 months in the exact role: owned the warehouse's core SQL modelling conventions, rebuilt the nightly Spark aggregation job for a 70% runtime cut, and debugged a silent data-loss bug in Airflow retry logic that had been under-reporting revenue. Covers SQL, Spark and Airflow with ownership plus mentoring, and exceeds the 24-month bar.",0,"No projects listed, so there is no project evidence to assess."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-97c54faf,python; fastapi; postgresql; docker,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Transaction API Prototype | Technologies: python, fastapi, postgresql | Role: solo | Description: Built a small FastAPI service exposing transaction CRUD endpoints backed by PostgreSQL, with basic input validation. | Outcome: (no stated outcome) || Title: Dockerised Ledger Service | Technologies: docker, postgresql, python | Role: solo | Description: Packaged a PostgreSQL-backed ledger service into a Docker container and wrote a startup script that runs migrations automatically. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built projects covering all four required skills - FastAPI transaction CRUD over PostgreSQL with input validation, plus a Dockerised PostgreSQL-backed ledger service with automatic migrations. Genuine independent work, but both descriptions are thin, with no debugging narrative and no stated outcome for either."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-79b67617,python; opencv; pytorch; linux,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: PyTorch Vision Project | Technologies: pytorch, python | Role: (role not stated) | Description: Class assignment. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Right framework and right domain, but a one-line class assignment with no role, no description and no outcome."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-4c280c2a,python; linux; docker; aws,BSc (Computer Science),"11 months total, seniority level 2","[Compliance Assistant, 11 months] Filed audit evidence into the compliance system. / Forwarded scanner alerts to the security team. / Updated the security policy document template.","Title: Access Log Anomaly Dashboard | Technologies: python, linux, docker | Role: solo | Description: Built a Python tool that parses Linux access logs and visualises anomalies on a dashboard, run inside a Docker container. Designed the anomaly-detection rules myself and debugged a false-alarm issue caused by timezone mismatches between log sources. | Outcome: Flagged 3 of 3 seeded anomalies correctly in a grading scenario with zero false positives.",1,"Security-adjacent administration: filing audit evidence, forwarding scanner alerts to the security team, and updating a policy document template. Alerts are routed rather than triaged; no configuration review, Python automation or hands-on Linux/Docker/AWS work.",3,"Python tooling over Linux access logs with visualisation, run inside Docker, with anomaly rules the candidate designed and a debugged false-alarm issue traced to timezone mismatches between log sources. Clean measured result (3 of 3 seeded anomalies, zero false positives); AWS is the one required skill absent."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-1ee3bace,typescript; react; css; next.js,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Recipe Finder | Technologies: react, typescript | Role: solo | Description: Built a React app that searches a public recipe API and displays results, with basic TypeScript typing throughout. | Outcome: (no stated outcome) || Title: Styled Component Library | Technologies: react, css | Role: solo | Description: Built a small reusable component library in React with a consistent CSS design token system. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built projects covering React, TypeScript and a CSS design-token component library - three of four required skills, and the library maps well onto the JD's shared-design-standard duty. Both descriptions are brief, with no debugging detail or stated outcomes, and no Next.js."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-442fdb32,python; pytorch; fastapi; docker,BSc (Software Engineering),"10 months total, seniority level 2","[Junior Data Assistant, 10 months] Labelled training images as part of a data-collection effort. / Forwarded model-monitoring alerts to the on-call engineer. / Updated the model documentation wiki.","Title: Model Drift Monitor | Technologies: python, pytorch, fastapi | Role: solo | Description: Built a monitoring tool that compares live prediction distributions against a training baseline and flags drift, exposed via a FastAPI dashboard. Designed the statistical test myself and debugged a false-positive spike caused by a seasonal shift in input data. Ran it against a PyTorch model I trained for the project. | Outcome: Correctly flagged 2 of 2 seeded drift scenarios in a grading rubric, with 1 false positive out of 20 clean runs.",1,"Supports an ML team through image labelling, alert forwarding and wiki upkeep, but performs none of the JD's engineering tasks. No PyTorch training, FastAPI serving or Docker packaging.",3,"Trains a PyTorch model and exposes drift monitoring through a FastAPI dashboard, with a self-designed statistical test, a debugged false-positive spike traced to seasonal input shift, and quantified detection results. Strong evidence on training, evaluation and serving; Docker is the only required skill not shown."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-d36f2efd,python; fastapi; postgresql; docker,BSc (Software Engineering),"12 months total, seniority level 2","[Junior Support Engineer, 12 months] Logged customer-reported payment issues into the tracking system. / Coordinated with the backend team on ticket triage. / Updated the FAQ documentation for common payment errors.","Title: Payment Reconciliation Engine | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Designed and built a solo project reconciling mock bank statements against an internal ledger. Implemented the matching algorithm in Python with a FastAPI endpoint and a PostgreSQL schema for the ledger. Debugged a rounding-error bug that caused false mismatches on about 2% of transactions, and fixed it by moving all amounts to integer cents. Deployed the service in a Docker container and load-tested it to 200 requests/second. | Outcome: Handled 10,000 synthetic transactions with zero false mismatches after the fix.",1,"Payments-domain exposure via issue logging, triage coordination and FAQ upkeep, but the work is customer support rather than engineering. None of the four required skills are exercised and none of the JD responsibilities are performed.",3,"Closest possible match: reconciles mock bank statements against a ledger using all four required skills - Python matching algorithm, FastAPI endpoint, PostgreSQL ledger schema, Docker deployment. Ownership is well evidenced (self-designed matching, rounding-error bug diagnosed and fixed by moving to integer cents) with load testing to 200 rps and a measured zero-false-mismatch result over 10,000 transactions."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-3d15d7ea,kotlin; android; gradle; git,BSc (Statistics),"11 months total, seniority level 2","[App Store Assistant, 11 months] Updated app store listing screenshots and copy. / Coordinated beta-tester recruitment. / Forwarded crash reports to the Android team.","Title: Habit Tracker App | Technologies: kotlin, android, gradle | Role: solo | Description: Designed and built a habit-tracking Android app in Kotlin, including the local database schema and notification scheduling. Debugged a crash on app resume caused by a lifecycle-callback ordering bug. Set up the Gradle build with flavors for debug/release and published a signed release APK. | Outcome: Reduced crash rate from 3% to under 0.1% of sessions after the fix, measured via local crash logging.",1,"Release-adjacent rather than engineering: store listing screenshots and copy, beta-tester recruitment, and forwarding crash reports to the Android team. Crash reports are passed on, not diagnosed; no Kotlin or Gradle work.",3,"Kotlin Android app built solo including the local database schema and notification scheduling, with a crash on resume traced to a lifecycle-callback ordering bug, Gradle flavours configured for debug/release and a signed release APK published. Covers Kotlin, Android and Gradle plus the stability duty, with a measured crash-rate drop from 3% to under 0.1%."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-79a0550f,python; pytorch; fastapi; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Image Tagging Service | Technologies: python, pytorch, fastapi, docker | Role: solo | Description: Trained a PyTorch classifier on a public image dataset and served it behind a FastAPI endpoint. Designed the inference batching logic myself and debugged a memory leak caused by not releasing GPU tensors between requests. Packaged the service with Docker and benchmarked latency under load. | Outcome: Reduced average inference latency from 800ms to 140ms after fixing the batching.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Full match on all four required skills and all three responsibilities: PyTorch classifier trained on a public dataset, served behind FastAPI, packaged with Docker. Self-designed inference batching, a diagnosed GPU-tensor memory leak, and a measured latency improvement from 800ms to 140ms."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-7db0de53,kotlin; android; gradle; git,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Habit Tracker App | Technologies: kotlin, android, gradle | Role: solo | Description: Designed and built a habit-tracking Android app in Kotlin, including the local database schema and notification scheduling. Debugged a crash on app resume caused by a lifecycle-callback ordering bug. Set up the Gradle build with flavors for debug/release and published a signed release APK. | Outcome: Reduced crash rate from 3% to under 0.1% of sessions after the fix, measured via local crash logging.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Kotlin Android app built solo including the local database schema and notification scheduling, with a crash on resume traced to a lifecycle-callback ordering bug, Gradle flavours configured for debug/release and a signed release APK published. Covers Kotlin, Android and Gradle plus the stability duty, with a measured crash-rate drop from 3% to under 0.1%."
