candidate_blind_id,jd_id,employment_relevance,employment_evidence_note,employment_provenance,employment_status,employment_adjudication_note,project_relevance,project_evidence_note,project_provenance,project_status,project_adjudication_note,adjudicator,adjudicated_on
pb-21380e31,jdp-001,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Strong, well-evidenced backend engineering on a very close problem - order/transaction matching, a race condition in concurrent updates fixed with row-level locking, 500 concurrent orders handled in load testing - but built in Go and MySQL. Only Docker overlaps the required stack, so it demonstrates transferable judgement rather than Python/FastAPI/PostgreSQL ability.","A=2, B=1; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §4 'adjacent technology': demonstrates a JD responsibility on a non-required stack -> capped at 2. Demonstrates the JD's API/transaction-modelling/containerised-deployment responsibilities with strong evidence (schema and transaction-matching logic designed, concrete race-condition debugging fixed with row-level locking, 500 concurrent orders in load testing) but on Go/MySQL rather than the required Python/FastAPI/PostgreSQL (docker is shared). Would be 3 without the adjacency cap.",claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-274312c9,jdp-001,1,"Sat inside the payments team but every listed duty is observational: sprint-planning attendance, documentation updates, shadowing on-call handovers. No hands-on Python, FastAPI, PostgreSQL or Docker work is evidenced.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. Payments domain present (transaction API documentation, payments-team sprint planning) but every duty is observational: attending, updating docs, shadowing.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-2a5a14fd,jdp-001,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,0,"Title and technologies are on-target (Docker, PostgreSQL, payments) but the entry is a one-line university-module reference with no role, no description of what was built and no outcome.","A=1, B=2; adjudicated (sided with NEITHER)",adjudicated,PROJECT_RUBRIC.md §3 tier 0 + §4 'title-only': technology appears only in the title/tag list and the description carries no substantive account of what was built or done -> 0. Description is exactly 'A project for a university module' with no role and no outcome; docker/postgresql appear only in the title and tag list. A scored 1 and B scored 2; both are above what the frozen rubric allows for title-only evidence.,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-79e07865,jdp-001,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Closest possible match: reconciles mock bank statements against a ledger using all four required skills - Python matching algorithm, FastAPI endpoint, PostgreSQL ledger schema, Docker deployment. Ownership is well evidenced (self-designed matching, rounding-error bug diagnosed and fixed by moving to integer cents) with load testing to 200 rps and a measured zero-false-mismatch result over 10,000 transactions.",A+B agree,agreed,,,
pb-97c54faf,jdp-001,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built projects covering all four required skills - FastAPI transaction CRUD over PostgreSQL with input validation, plus a Dockerised PostgreSQL-backed ledger service with automatic migrations. Genuine independent work, but both descriptions are thin, with no debugging narrative and no stated outcome for either.",A+B agree,agreed,,,
pb-9907e773,jdp-001,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (FastAPI validation layer), concrete debugging (concurrent refund double-credit), evaluation (regression test); directly matches 'build payment processing APIs' and 'work with PostgreSQL'. Noted tension: §2 tier-2's 'limited ownership' wording could argue for 2 given the work was team-reviewed, but §4's operational rule is explicit and takes precedence.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-bd38aad2,jdp-001,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Right stack (Python, FastAPI, PostgreSQL) and right domain by title, but explicitly a followed online course with no role stated, no independent design, no debugging and no outcome.",A+B agree,agreed,,,
pb-cd1a7447,jdp-001,3,"40 months in the same role, owning the transaction-processing API and its PostgreSQL schema - the JD's two core duties. Ownership is evidenced by fixing an N+1 query pattern (p99 900ms to 220ms), leading incident response for connection-pool exhaustion, and containerising the service with Docker. Meets the 24-month bar.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-d36f2efd,jdp-001,1,"Payments-domain exposure via issue logging, triage coordination and FAQ upkeep, but the work is customer support rather than engineering. None of the four required skills are exercised and none of the JD responsibilities are performed.",A+B agree,agreed,,3,"Closest possible match: reconciles mock bank statements against a ledger using all four required skills - Python matching algorithm, FastAPI endpoint, PostgreSQL ledger schema, Docker deployment. Ownership is well evidenced (self-designed matching, rounding-error bug diagnosed and fixed by moving to integer cents) with load testing to 200 rps and a measured zero-false-mismatch result over 10,000 transactions.",A+B agree,agreed,,,
pb-f8c512e0,jdp-001,1,"Payments-domain exposure via issue logging, triage coordination and FAQ upkeep, but the work is customer support rather than engineering. None of the four required skills are exercised and none of the JD responsibilities are performed.",A+B agree,agreed,,3,"Uses all four required skills on a payments problem: scans a PostgreSQL ledger for consistency violations, reports via FastAPI, containerised with Docker. Self-designed detection rules and a debugged class of timezone false positives show real ownership, and the outcome is measured (3 seeded bugs caught). Course-demo scale is the only limitation.","A=3, B=2; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Five strength-signal categories (implementation, self-designed detection rules = architecture, concrete timezone false-positive debugging, Docker containerisation = deployment, 3 seeded bugs caught = measurable outcome) and it covers all THREE JD responsibilities on all four required technologies -- B's stated reason ('incomplete coverage of the JD') does not hold against the visible evidence.",claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
